region_id,constraint_order,constraint_name,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,0,reaction_linearized,-0.02800929421175356,1.0,-1.573147250334165,-0.4650122277466682,0.10900831437714738,-9.718456594620239
0,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
1,0,reaction_linearized,-0.030662800743264287,1.0,-1.5357249669857718,-0.5265458469216471,0.10900831437714738,-10.639150556241267
1,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
2,0,reaction_linearized,-0.03329652415741437,1.0,-1.499830880727364,-0.5919467925137635,0.10900831437714738,-11.552980318931677
2,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
3,0,reaction_linearized,-0.15787310502441387,1.0,-42.07182352292218,-29.66134273259774,9.668706867022713,-89.72937441888428
3,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
4,0,reaction_linearized,-0.16953779363498067,1.0,-36.2913528528483,-34.36267958711814,9.668706867022713,-96.35916238470271
4,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
5,0,reaction_linearized,-0.1801863245271369,1.0,-31.397039095334527,-39.3514586038289,9.668706867022713,-102.41140298189366
5,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
6,0,reaction_linearized,-0.5146923355942805,1.0,-192.73394925328742,-135.87051048353237,41.39207548720389,-337.45465800804124
6,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
7,0,reaction_linearized,-0.5520493575904766,1.0,-163.71354039551778,-158.19511784111228,41.39207548720389,-361.9475447485621
7,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
8,0,reaction_linearized,-0.5857585000541743,1.0,-139.56972503231577,-181.89109469743406,41.39207548720389,-384.04872317139075
8,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
9,0,reaction_linearized,-1.075468259888309,1.0,-461.62153203796305,-323.03538356552804,94.29132984816985,-750.4766407285526
9,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
10,0,reaction_linearized,-1.1528682645764814,1.0,-389.2639496184964,-377.17314720766586,94.29132984816985,-804.4874355397225
10,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
11,0,reaction_linearized,-1.2222728723034884,1.0,-329.6353185771883,-434.645983302669,94.29132984816985,-852.9189316616602
11,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
12,0,reaction_linearized,-1.802033635870087,1.0,-841.6199480658654,-585.2806753287495,165.82663778940855,-1308.3727749693799
12,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
13,0,reaction_linearized,-1.9310244234647005,1.0,-706.2577803999242,-684.7230714041148,165.82663778940855,-1402.0269839426587
13,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
